sentence,,,,,,,
"PRICED ABOVE MSRP. First thing first. These are Overpriced. This particular Nike Dri-Fit Training shirt has an MSRP of $22 (see picture of the tag from the green shirt for $22 and I paid $24 for it) and most of them listed here are going for $22-$30. That is ridiculous. You can go to Dicks Sporting Goods website and get them for $16.50. I ordered two of these shirts in red and green size XL for $23 and $24 respectively. The only reason I ordered these is because I thought they were the Dri-Fit Ts that normally retail for ~$35 and I thought I was getting a good deal. I have two of the $35 dri-fit t-shirts already, which fit really nice (not tight, I hate tight shirts, but not loose). These cheaper dri-fit t-shirts fit much larger than the $35 ones (see picture red $22 MSRP from amazon on left and navy $35 MSRP from Dicks on right, both XL). I am 63"", 230 lbs and the XL feels like I am wearing a dress.

I purchased one of these in hope of finding something that is light enough to wear and use at the gym, but still thick enough to where my nips wouldnt be popping out the whole time. Im pleased with the buy. The quality is great. Im 511 and weigh about 165-70. I went with a large and am happy i did so. Wear a tank top underneath though. If your gym is cold your nips mighy show.,,,,,,
Very good quality. Great value.,,,,,,,
Fits nice and feels good.,,,,,,,
Comfy,,,,,,,
Excellent product, price and shipping,,,,,,
Fits perfect,,,,,,,
Nice shirt. I have one in gray and now this one in white. I like the fit, i.e., not baggy, and the thinness of the fabric. Other brands are thicker, and I find that makes me too hot while exercising. Also great to wear in the sun.,,,
Bought this for my son and he loves it! Fits as expected!,,,,,,,
This is made in Mexico. The Vietnam fabric is much better.,,,,,,,
I liked this Nike long sleeve a lot.,,,,,,,
Too large,,,,,,,
Great,,,,,,,
I got the large. It looks great, however really is....welll.... quite large. I am 6 feet tall, around 200 pounds with a relatively athletic physique and this is still quite a bit too big on me. Feels more like an extra large. Insanely comfortable though and it still looks great. I would just size down if at all possible.,,,,,
I bought this shirt for longer runs (10+ miles) here in Central Florida on days when it is typically over 90 degrees and over 90% humidity. It definitely makes a difference with the white color as it is highly reflective and keeps you cooler in that regard. Secondly, you are now evaporating sweat from both your skin and the shirt, creating a better core temp cooling mechanism. I recommend.,,,,,
Super super comfortable an awesome looking but the only problem is when you order a large it comes in a slightly smaller size so its not Amazons fault, but rather Nikes for making a shirt and not giving it the proper size but overall still a great purchase and a goal to work towards,,,,,,
The long sleeves feels good but the size are a little bigger then what I ordered. I wear a medium but when I put this on, it feels and look a little bigger then medium but a little smaller then a large.,,,,,,
"Great breathable and ultra-light running shirt! The fit for the M is spot on for someone bw around 510 - 62"", with decent chest room (ie not too snug)",,,,,,,
"Comfortable dry-fit long sleeve t-shirt.
Fits well on medium frame-size.
Made in Jordan.",,,,,,,
great for the gym!,,,,,,,
Nice,,,,,,,
Ive bought several of these. Their great to work out in or to lounge around in.,,,,,,,
bought this for a co-worker for secret santa. bought him a medium but it fits like a large. He still uses it though :) shipped and delivered on time,,,,,,,
"This was ordered for my very thin grandson. He usually wears a mens small, but this was still a bit loose in the small, but he still likes it.
",,,,,,,
100f outside and this long sleeve is keeping me cool, love thus shirt buying more,,,,,,
Fits well like to wear to the gym with my Nike Mens Free Trainer 3.0 V3 Training Shoe [Color: Game Royal/White] its a perfect match. When you running keeps the sweat under control. This way when you leave the gym you arent exposed to the cold air. I have few brands of shirts, but actually find these the most comfortable.,,,,,,
Just as you would expect. But smaller than most. Would get the next size up,,,,,,,
"Nice fit
not see through own two",,,,,,,
shirt feels very good on skin. keeps you cool and fits as expected,,,,,,,
I would recommend. Love the fit and color. No surprises here.,,,,,,,
Very good shirt made with nice expensive looking material. The shirt fits very well. I purchased the purple because most of the other colors were sold out in large. I was skeptical of the color because its purple. However, the shirt looks really good on.,,,,,,
Bought it for a Christmas gift & they loved it,,,,,,,
great shirt - fits accordingly and looks great - highly recommend,,,,,,,
"I ordered size M, its a little tight around chest, sending it back.

The material is dri-fit, very thin, but durable, not too bad for $32 I paid.",,,,,,,
A little oversized, decent quality.,,,,,,
I love this ! I would buy more!,,,,,,,
Nice color and fit,,,,,,,
Came in as red and not maroon my boyfriend ended up keeping it but now he has two of the same color,,,,,,,
Dont typically buy clothing from Amazon, but my husband has a NIKE Black long sleeve crew and wanted a white one. The size is accurate.,,,,,,
The outside tag said Large but when tried on realized it was very tight. The inside tag showed it was a small.,,,,,,,
exelent,,,,,,,
some of these run so small like they are meant for undershirts or workout only but this is a good shirt for relaxing or casual wear no form fitting,,,,,,,
I bought this lightweight dry fit for my husband to wear to the gym. He loves it. It provides extra warmth under his t shirt because our gym is always freezing cold. I bought a medium, he weighs about 165 and is 5 10 and it fits true to size.,,,,,,
great!!!,,,,,,,
Got for my father-in-law for Christmas, who usually wears a Tall, and it fit very well. He loved it so much he wore it two days in a row! LOL!,,,,,
Nice Shirt.,,,,,,,
Great fit and quality, exactly what I needed,,,,,,
Fits well throughout chest and back etc. Was expecting more of a tight fit through the arms however and wrists, however. All in all a great shirt though.,,,,,,
Great purchase. Im 62 200 pounds and ordered a large. The shirt fits great and came MUCH faster than the ETA,,,,,,,
The upper part of the sleeves are oddly baggy, while the lower forearm fits as expected. My husband isnt really a fan of it, but I think I will try to alter it so the upper arms fit more like they should.,,,,,
Great shirt for the price....Very comfortable!,,,,,,,
I was very disappointed. It was thinner and more see-through than the picture depicted. I will just use it as an undershirt on a cold day.,,,,,,,
Arrived on time and looks okay - not really impressed with the material and it had a weird smell to it when it first arrived.,,,,,,,
you can buy it at the same price outside.,,,,,,,
I bought two of these and love them. Loose fitting and lightweight. Perfect for working, hiking/camping, or just lounging around the house.,,,,,
Fits beautifully,,,,,,,
Love this shirt. Excellent for working out in or just casual wear.,,,,,,,
I have three of these all different colors. Ordered them from the same place. Fast shipping! Will buy a few more in different colors soon.,,,,,,,
"A gift for my hubby, He is 511"" 173lbs, I got him size L. It fits well.",,,,,,,
Bought it for my husband, looks And fits great,,,,,,
It was perfect just what my grandson wanted. The fit was just right, the purple was a beautiful color. Very pleased.,,,,,,
Perfect fit, great for running.,,,,,,
For some reason this fabric snags very easily on velcro. (the hook side). I have a dozen of these NikeFit that I bought years ago that dont do that.,,,,,,,
Bit larger than description.,,,,,,,
These are sized a little bigger than you would think or are used too. But the quality is still the NIKE quality. I would easy buy again.,,,,,,,
An excellent & interesting transaction,,,,,,,
Dri-Fit T-shirts are a great idea. I wear it when I play tennis in the sun to keep the sun off of my arms. It is great!,,,,,,,
I really love this as a long sleeve under shirt, under my golf polo shirts. Or can be worn as an outer shirt, its not very heavy, very light breathable material,,,,
"Great fit , exactly as described, fast delivery
I would order from this seller again",,,,,,,
My husband loves these shirts for running in the winter. Bought as a Christmas present.,,,,,,,
"I bought this t-shirt for my daughters boy friend he loved it.
Beautiful blue",,,,,,,
My husband really likes these shirts and this one is one of his favorites. Its thin enough to wear underneath a sweatshirt/fleece or to layer over a tshirt. Dri-fit material.,,,,,,,
It is great and my nephew loved it, the material was comfortable and the fit was good,,,,,,
Bought as a gift for my brother - he loves it! Stated is was comfortable and washed great. He is tall and has broad shoulders - fit great all the way around.,,,,,,,
Perfect shirt if you are running outdoors in the winter or late fall. It fits loose and is very comfortable! I would definitely reccommend this product.,,,,,,,
Great shirt, cool, nice material. Fits a littler big but is great for exercising when it is not that hot out.,,,,,
I rock one of these in a different color at least 5 days a week. Theyre legit af,,,,,,,
Arms are a bit tight where they attach to the body. Otherwise fits as expected.,,,,,,,
All perfect, thanks!!!!,,,,,,
Was not what i expected, please be careful of what the item description says and what your expectations are.,,,,,,
??,,,,,,,
Slow ship but worth the wait.,,,,,,,
I am somewhat dissapointed with how dark the color of the shirt is .,,,,,,,
Great long sleeve running shirt. Ive owned these before so no big surprise.,,,,,,,
Nike is still the best dry fit weave available, Ive bought adidas and others but they can be scratchy.,,,,,,
This shirt will get you hella chicks,,,,,,,
Too thin !Long sleeves!,,,,,,,
Fits perfectly and material is light for late spring/early fall weather in the mid-west.,,,,,,,
You get what you pay for. Very thin, badly fitting shirt,,,,,,
Fits good, but this is way light weight. In fact you can see right thought this shirt? For the price I thought it would be higher quality Nike.,,,,,,
Nice quality and good finishing as well. If you have an athletic body type this would look perfect. I use these for gym and dont feel sweaty.,,,,,,,
Bought a medium; small would probably be the right fit,,,,,,,
Fits just as expected. Im very happy with my purchase,,,,,,,
Great color,though i wish the swoosh was embroidered..,,,,,,
Ive bought several of these & they are a good look & so comfortable!,,,,,,,
"It isnt made of the same material as the ""Nike Dri-fit"". The item is also too small.
Not happy with this purchase.",,,,,,,
Good,,,,,,,
I was skeptical, but believe all the other reviewers now- this runs really a size or size and a half big. I usually wear a L, but this was the biggest, longest M Ive ever seen!,,,,
Fits perfectly. Feels great in the heat considering I walk all day as a letter carrier.,,,,,,,
Nice shirt, fits very good. Like the fabric. Will be good sun protection without being too hot.,,,,,,
I like the color, the fit, the weight (perfect for coolish summer days).,,,,,
Loved it!,,,,,,,
Awesome shirt and fits as expected..,,,,,,,
Loose sleeves exactly what I wanted for bug protection.,,,,,,,
Fits slightly bigger than expected, but great product. Exactly what I was looking for!,,,,,,
Light and dry feel.,,,,,,,
My husband likes this shirt a lot,,,,,,,
The material is strange. Tends to hold body odor and doesnt breathe well. Not liking it so far,,,,,,,
Grandson was very proud of it.,,,,,,,
great fit, just what i wanted,,,,,,
very nice fit true to sizing,,,,,,,
Shirt fits loosely, but is true to size.,,,,,,
Shirt was the perfect gift.,,,,,,,
Good shirt but doesnt fit as expected.,,,,,,,
like it wont buy again was charge shipping should have been free my order said 1 of 2 on this order ps who can i contact on this ?,,,,,,,
Bought this as a gift for a friend at the gym. He loved it and it fits him great.,,,,,,,
very comfortable shirt.,,,,,,,
Great shirt. Love it!,,,,,,,
Its a nice shirt, but it was for my 13 year old son and it almost fits my husband who wears a large.,,,,,,
it is not cotton , it looks like the football Tshirt in its material ,,,,,,
Good quality material,,,,,,,
awesome shirt and buy,,,,,,,
Nice! Love the material!,,,,,,,
A little loose,,,,,,,
Great shirt. Im gonna wear it to all of my sons basketball games this year. Its our team color.,,,,,,,
Great quality and fit.,,,,,,,
Great shirt,,,,,,,
Perfect fit,,,,,,,
Fits good.,,,,,,,
Fits great,,,,,,,
Fits great,,,,,,,
It was a gift,,,,,,,
good size,,,,,,,
great fit,,,,,,,
feels great, looks exactly as pictured.,,,,,,
Perfect!,,,,,,,
Love it.,,,,,,,
Very comfortable shirt. Sleeves are a bit long though.,,,,,,,
Excellent product as I expected, it was a Christmas present for my daughters boyfriend.,,,,,,
It was a gift and the recipient liked it. I hope it came in a gift box.,,,,,,,
wonderful,,,,,,,
Was as described. Came fast. Thank you!,,,,,,,
Everything arrived on time and in good condition. Great product for working out - exactly what I was hoping for / expected. Happy with my purchase. Wore this skiing under my jackets - comfortable and clean.,,,,,,,
great quality shirt,,,,,,,
Arrived as described and by date promised,,,,,,,
It was great. Exactly what I expected.,,,,,,,
Great product. Color is a little different.,,,,,,,
great shirt, fits nice, THANKS!!!!!!!!,,,,,
My new favorite shirt,,,,,,,
Very comfortable,,,,,,,
Awesome,,,,,,,
Fits great, looks great and the material is high quality.,,,,,,
Returned. Too big. My fault for trusting the 4 yr. old size of Nike Dri-Fit apparel.,,,,,,,
"Never bought anything from Nike I didnt like.. Versatile true to size cool color shirt
Well made",,,,,,,
A little big in the arms. My boyfriend loves it and its great quality,,,,,,,
A little tight but perfect for an under layer.,,,,,,,
Husband is very happy with this tee & I was happy with the price!,,,,,,,
Awsome,,,,,,,
great,,,,,,,
Got a little big, but not extremely oversized, I like a lose fiting clothing.,,,,,
Perfect fit but I recommend medium or small size large looks like its a X-large long sleeve shirt,,,,,,,
nice shirt,,,,,,,
Product met expectations.,,,,,,,
Runs bigger than normally advertised, however its a great product. I definitely recommend getting one just make sure its the right size,,,,,,
Very comfortable and durable,,,,,,,
Great shirt, Great fit, I love the shirt!,,,,,
perfect gift,,,,,,,
nike good product,,,,,,,
Good fit wears well. I would buy again,,,,,,,
"Nike Dri Fit large
61 185
Fits as expected, Medium would be more snug but doable",,,,,,,
right color and right fit.,,,,,,,
Looks nice and is very comfortable.,,,,,,,
Solid nike quality. Good price.,,,,,,,
seems a little big but very nice quality,,,,,,,
Great fit! I use this as a workout shirt and it fits me perfectly.,,,,,,,
This was the perfect gift fir my daughters boyfriend.,,,,,,,
Another good Nike Shirt.,,,,,,,
good product,,,,,,,
Love the shirt! Thanks.,,,,,,,
Love it. Comfortable. Fits great.,,,,,,,
"Very comfortable
Fit was perfect",,,,,,,
They where excellent and fit well,,,,,,,
Very comfortable. Works well.,,,,,,,
product arrived on time. Very satisfied with the product,,,,,,,
A+++++,,,,,,,
Good fit,,,,,,,
Its fine I workout in it and it has met all my expectations,,,,,,,
Great gift for the sporty man peeps in your life!,,,,,,,
Great,,,,,,,
Wish the logo was monogramed as the older shirts had been.,,,,,,,
Wish the logo was monogramed as the older shirts had been.,,,,,,,
Returned for one size smaller, arms way too long,,,,,,
Great shirt.,,,,,,,
Great quality and fit,,,,,,,
Took longer than expect but fits nice,,,,,,,
great,,,,,,,
I purchased for travel. Stores well in the suit case and is comfortable for travel or by the pool. You cant go wrong.,,,,,,,
LOOKS GREAT!,,,,,,,
I would recommend getting a size smaller than ure size,,,,,,,
